é–âÔìIäOåê´,äàìÆê´,ã§ä¥ê´,êiéÊê´,éùãvê´,ãKó•ê´,ãïç\ê´,é©å»äJé¶ê´,çUåÇê´,îÒã¶í≤ê´,óÚìôä¥,ê_åoéø,ó}üTê´
 0,  2, 10, 20,  4,  4,  6, 10, 16,  0,  6, 16,  8
12,  2, 12, 10,  6, 10,  2,  7,  6, 10, 18, 12, 16
 2,  2,  6,  3, 10,  9, 10,  5,  0,  6, 17,  1,  6
18, 14,  6, 15, 12,  8,  5, 11, 13,  9, 12, 15, 16
18,  6, 20, 12,  2,  6,  0,  6,  8,  1,  6, 18, 15
 5, 11, 17,  8, 11, 14,  2, 12,  9,  3, 10, 14, 10
 8,  4,  8,  0,  2,  2,  2,  0,  6, 10, 10,  0,  6
14,  8, 12,  8,  4, 14,  4, 11,  8,  4,  4, 10, 12
 3, 15, 12, 14, 14, 12,  2, 14, 19, 20, 18, 20, 18
18, 17, 17, 20,  3,  6,  7,  7, 14,  3,  5,  6,  7
10,  8, 16, 14, 11,  7,  5, 15, 12,  9, 15, 18, 12
15,  7, 17, 17, 13, 17,  3,  9, 11,  7, 11, 17, 12
 6,  9, 11, 12, 16, 15,  1,  7,  6,  8, 19, 14,  8
 4, 12, 17,  4, 17, 10,  6, 13, 10,  6,  7, 20, 14
 4,  1,  6,  8,  2,  2,  2,  4, 10,  3, 14, 16, 20
11, 11, 18, 12, 14,  8,  4, 12, 10, 12, 15, 20, 17
12, 13, 13, 11, 10, 15,  2,  9, 10,  3,  5,  6,  5
11,  6, 10, 11,  4,  6, 10,  7,  3,  9,  9,  6, 11
 4,  9,  9,  4,  7,  1,  5,  6, 10,  7, 16,  5, 12
18, 15, 15, 17,  8, 10,  2, 14, 16, 10, 19, 16, 17
20, 16, 19, 18, 20, 20,  4,  7, 16,  6,  1, 16,  2
17, 10, 17, 18, 16, 16,  7,  9,  7,  1, 15,  8, 11
10, 10, 17,  6, 16, 11,  4,  4, 15, 12,  5, 16, 20
 1,  3,  7,  8,  5,  0,  8,  1,  6,  3, 20,  8, 16
 8,  2, 11,  3, 17, 15,  6,  4,  8, 10, 14,  9,  6
 5, 10, 20, 18, 16, 14,  6,  8,  2,  0, 12,  6,  2
18, 14,  9, 19, 19, 18,  3, 20, 17,  9,  3,  9,  6
18,  8, 17, 16, 12, 11, 10, 19,  5,  4,  3,  2,  6
18,  6, 16,  2, 10,  6,  4,  6,  2,  8, 16, 12, 14
16, 16, 15, 12, 11, 14,  9,  7,  2,  4,  3,  3, 12
18, 17, 15, 17,  3,  2,  2, 15,  8,  7, 17, 17, 15
20, 17, 12, 14, 12, 18,  2, 18, 18,  6,  8, 12, 12
18, 19, 20, 10, 20, 17, 11, 16,  4,  0,  3, 14,  3
16,  6, 14,  8, 10,  4,  2, 10,  0,  0,  4,  4,  2
 8, 11, 16,  9, 18, 10,  2,  9, 16,  9, 10, 19, 20
 2,  8, 18,  6, 20, 12,  0,  8,  4, 12, 16, 18, 14
20, 16, 18,  4, 14,  4,  2, 10,  2,  0,  2,  6,  2
16, 15, 17,  6,  2, 12,  2,  8,  9,  3, 13, 14,  8
11, 11, 15, 11, 15, 13,  1, 11, 14,  9,  8, 20, 14
10, 10, 12,  8, 14, 16,  9, 12,  4,  3,  9, 12,  3
12,  0, 12,  8,  2, 10,  2,  3,  3,  2, 10,  0,  6
12,  5, 11, 20, 14,  8,  0, 20, 16, 10, 10, 16, 14
 9,  5, 16, 13, 15, 12,  3, 10,  6,  6, 10, 17, 12
 7,  8, 11,  6, 15, 12,  7,  0,  5,  8, 10, 14, 15
